cell_id,vitmae_leiden_macs,Has_DE_Genes
ajplpdnk-1,13,True
ajpmdnae-1,10,True
ajpohelm-1,10,True
ajpolgca-1,10,True
akbabnfd-1,10,True
akbanedl-1,13,True
akbbkepg-1,13,True
akbbodno-1,10,True
akbccfma-1,13,True
akbmheoi-1,10,True
akcdcefb-1,13,True
akcilmef-1,13,True
akcjgbpg-1,13,True
akcjmlfa-1,10,True
akcjpifc-1,13,True
akckgmpl-1,10,True
akcojaid-1,13,True
akddlodp-1,13,True
akdgbhph-1,13,True
akdjadpb-1,13,True
akdkadpn-1,13,True
akdnppko-1,13,True
akdpidja-1,13,True
akedgnbb-1,10,True
akeeamlk-1,13,True
akefehlf-1,10,True
akefolme-1,10,True
akeichan-1,10,True
akejgffh-1,13,True
akemcoaa-1,13,True
akenacln-1,10,True
akendfcl-1,10,True
akfcfmef-1,10,True
akfckfan-1,13,True
akfepnce-1,10,True
akffcnnp-1,13,True
akfhfank-1,13,True
akfihpdg-1,13,True
akfikbof-1,6,False
akfinmjc-1,10,True
akfmhdgc-1,13,True
akfmmpgo-1,10,True
akfnhncp-1,13,True
akfpccmp-1,13,True
akgdglnf-1,13,True
akgefipa-1,13,True
akgenanp-1,10,True
akgfgkih-1,10,True
akgghmgn-1,13,True
akgheggh-1,10,True
akgocjco-1,13,True
akhbcdhh-1,13,True
akhcijpc-1,13,True
akhdcndo-1,2,False
akhkjjpn-1,10,True
akhlanil-1,13,True
akhljklg-1,13,True
akhmgbej-1,10,True
akhmkhao-1,2,False
akhpllmh-1,13,True
akidjjpc-1,13,True
akjlmpcc-1,13,True
akjmcfmk-1,13,True
akjmfdog-1,13,True
akkcdgll-1,13,True
akkcehao-1,6,False
akkfhbjd-1,13,True
akkgjech-1,13,True
akkimomk-1,6,False
akkmfkfa-1,13,True
aklppbpc-1,10,True
aknohcpg-1,13,True
akpcfdkj-1,10,True
akpdobhd-1,13,True
aladjpid-1,13,True
alahipep-1,13,True
albgggcg-1,10,True
aldbecmd-1,13,True
aldcacia-1,3,False
alecnjmj-1,10,True
alekenic-1,13,True
alfbdogi-1,13,True
alfldlef-1,10,True
alfodkgn-1,10,True
alibnidl-1,10,True
alifdncn-1,13,True
aliffnah-1,13,True
alikjbhg-1,13,True
aljfomib-1,10,True
aljgjiba-1,13,True
aljicgbe-1,13,True
aljoaihp-1,6,False
alkfdimg-1,3,False
alklbiph-1,13,True
alldffpi-1,13,True
alljofmn-1,13,True
almjndlp-1,10,True
alnpapdb-1,10,True
alopecgh-1,3,False
alpgcelp-1,13,True
ambmmagg-1,6,False
amdebonb-1,10,True
ameapoba-1,10,True
amecebka-1,10,True
amecemgn-1,13,True
amegeood-1,10,True
amehbjca-1,10,True
amelhlfo-1,13,True
amenmafc-1,13,True
amfobkik-1,13,True
amgdfjdm-1,13,True
amhfllch-1,13,True
amhflnlk-1,13,True
amhhjaec-1,13,True
amidehcm-1,10,True
amikpccl-1,10,True
amiofalh-1,13,True
amipedgj-1,10,True
amleikjm-1,13,True
ammchekh-1,10,True
ammiiaca-1,10,True
amnoecjk-1,10,True
amnpbcma-1,13,True
amnpfcch-1,13,True
anbcfkfa-1,13,True
ancelmbg-1,6,False
ancnhafl-1,10,True
ancohjae-1,13,True
