cell_id,vitmae_leiden_macs
fgjgkbnc-1,1
fgnbglkb-1,4
fhalkpnn-1,1
fhgdnobd-1,3
fhjbmheb-1,2
fhlegldg-1,4
fhodjbje-1,2
fhognlle-1,2
fhokockn-1,2
ficpkbhg-1,2
fifjelki-1,4
fjdapbkk-1,4
fjdbianl-1,4
fjekoige-1,7
fjeobloh-1,1
fjkmogcg-1,6
fjkppkjj-1,8
fjlipbnn-1,1
fjlncckh-1,1
fjlnofpi-1,1
fjmgomdd-1,1
fjmiklfk-1,1
fkamojle-1,6
fkbcifhi-1,3
fkbmefmk-1,4
fkcdhdki-1,1
fkeddihc-1,2
fkejdiha-1,1
fkfagjfc-1,2
fkfphokf-1,1
fkkcjjfb-1,6
fkmblbgd-1,4
fknpmkma-1,4
fkoafcmj-1,3
flcclpde-1,2
flcinbij-1,2
flgbjelb-1,4
flkipeco-1,5
flklfmlk-1,2
fllnjphk-1,2
flmjelln-1,5
fmhifnkd-1,4
fmmaknng-1,8
fmpifhnf-1,1
fmpipdaf-1,1
fmpmfhaf-1,8
fnaehgbo-1,1
fndjljcj-1,1
fndoaklk-1,7
fnfdbaib-1,1
fnglhpbj-1,2
fnimaini-1,3
fnimdack-1,3
fnkfonma-1,4
fnldgdfi-1,2
foeckjkj-1,4
fofebbap-1,4
foilbcbn-1,2
fojieiag-1,2
fokggbjh-1,2
fokmjkca-1,2
fonbckbl-1,3
fpbdikno-1,3
fpfaelbk-1,8
fpknnbih-1,4
fpmplmim-1,2
fpogpnga-1,2
fppijcgb-1,2
gaacmdpo-1,2
gaagpagj-1,2
gabcdaad-1,5
gacnoncn-1,8
gajegmdg-1,2
gakpjgia-1,4
gbahbgij-1,3
gbepbdjk-1,2
gbhcfcgp-1,4
gbicfhpf-1,3
gbppjbbh-1,8
gccbacbf-1,1
gcedcmop-1,4
gcfdjcec-1,3
gcfeanhe-1,8
gcfodokg-1,4
gcgafdmk-1,2
gcgikcoh-1,4
gciekeee-1,1
gcldgbjo-1,8
gcmnecpm-1,6
gcnajckk-1,1
gdafnjdn-1,8
gdbhfgee-1,1
gdbocjig-1,6
gddhejih-1,1
gddiahno-1,1
gddklhha-1,1
gdfbjino-1,1
gdfmgknd-1,6
gdgmkhlh-1,1
gdmiccem-1,4
gdnclnlm-1,8
gdngedfp-1,4
gdondafa-1,1
gdpmoifb-1,2
gebhhgfh-1,4
gedacmbb-1,8
geefgcge-1,4
gegnkkhm-1,4
geibkbdo-1,6
geildadm-1,8
gejajgeo-1,1
gekdbgdf-1,8
gelbnend-1,6
gemkiian-1,1
geojlmdf-1,1
gepiacni-1,8
gepiedhj-1,1
geplkkkl-1,6
geploeha-1,8
gepmlala-1,3
gepnbajd-1,1
gfafcnhg-1,1
gfafehfa-1,1
gfajjlna-1,1
gffecpeo-1,1
gfhkkaca-1,1
gflojmni-1,1
ggadinkn-1,4
ggdejahf-1,6
ggdgjdee-1,6
ggdgkpdk-1,1
ggjigeee-1,2
ghbffnbc-1,2
ghcfbhhb-1,2
ghcfpgmd-1,2
ghfeadac-1,1
ghfimhpg-1,4
giaepkbg-1,8
gibnmjin-1,2
giekghkg-1,2
gifnfdpf-1,2
giobmpmb-1,1
gjakejjg-1,2
gjcfobip-1,3
gjffmpje-1,1
gjflfnlm-1,6
gjigdmlo-1,2
gjkakgfg-1,2
gjkfgind-1,2
gjlagglj-1,2
gjmcokfk-1,3
gjnfpbii-1,2
gjpogncn-1,4
gkclmlbb-1,2
gkgannfg-1,6
gkgleabm-1,1
glbfifog-1,2
glnahdfa-1,3
gmjknifo-1,3
gmjnchcf-1,3
gmklcdbd-1,4
gnbmhffo-1,4
gnemkcpk-1,8
gnheaafc-1,4
gnhgihpd-1,4
gnhojcli-1,4
gnkbclha-1,3
gnkjddjh-1,3
gnkocagp-1,4
gnobkiek-1,3
gocjgeph-1,3
godnjiof-1,4
gofkoodl-1,5
goimjabg-1,2
gphajidd-1,2
gpjheogf-1,3
gplhjhhe-1,4
gpmeadod-1,4
gpoppdcc-1,4
gppmhokg-1,4
hadkahhb-1,3
haecmmhd-1,2
hahflpoc-1,5
hakmbgbm-1,3
hbadcpgl-1,3
hbdochgo-1,3
hbhkjngm-1,3
hbjdjddo-1,3
hblhhbgl-1,3
hcobdfkn-1,1
hdcgggio-1,8
hdenpenm-1,4
hdhclgap-1,1
hdkhinfi-1,4
hecdipnm-1,4
hedojnbg-1,4
heghhbpd-1,1
heglkkbb-1,1
hehcjiof-1,2
hfaejbjl-1,3
hfcfponl-1,4
hgfkhhja-1,3
hghihgbm-1,2
hghpmnpc-1,3
hgiolcpa-1,2
hgkghkpk-1,3
hglmgoek-1,3
hhamippa-1,2
hhbomkil-1,7
hhddjijb-1,4
hheehcpf-1,8
hhfdaacp-1,8
hhgajnih-1,8
hhhpljbj-1,8
hhidkoni-1,8
hhiimcko-1,8
hhmcmdpl-1,2
hhnelmjj-1,6
hhopobaj-1,3
hhpccpnl-1,4
hhpfoklb-1,6
hiaebkjf-1,8
hidalgbf-1,2
higlcbed-1,8
hihfbibk-1,8
hinddkfd-1,4
hinddpgb-1,8
hinpbajk-1,2
hioaopno-1,8
hjaieofg-1,8
hjfjdkhl-1,2
hjieineo-1,2
hjlphkpd-1,4
hjnhjpna-1,6
hjnpedlj-1,2
hkbofpio-1,2
hkfgebfm-1,4
hkhkjhcf-1,2
hkimkkln-1,2
hkkmilgj-1,2
hkmlchal-1,3
hkmodnoh-1,4
hkpelbdd-1,4
hlaiopkm-1,2
hlclgimc-1,2
hldchiif-1,2
hleglafj-1,1
hlgaifea-1,4
hlignofg-1,4
hljfglan-1,1
hllmhibk-1,5
hlmkdhig-1,5
hmlegcbd-1,2
hncmehfd-1,2
hnfijpbm-1,4
hnflhldl-1,5
hngcapgc-1,2
hnijnago-1,4
hnkcldil-1,2
hnkoblkd-1,2
hnlfkgfe-1,2
hnlgfbog-1,6
hnmfllpg-1,5
hnmgepfn-1,5
hoefhogh-1,2
hogdoaag-1,4
hohikphj-1,5
hohndgbl-1,4
hohpjnfm-1,5
homcfkmg-1,4
homoifaj-1,1
